   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.032    0.032    2.764    2.764 RLPong_Theano.py:1(<module>)
     1204    0.007    0.000    1.669    0.001 core.py:98(step)
     1204    0.011    0.000    1.659    0.001 atari_env.py:66(_step)
     3537    1.059    0.000    1.059    0.000 ale_python_interface.py:140(act)
     2410    0.611    0.000    0.611    0.000 {numpy.core.multiarray.dot}
     1204    0.017    0.000    0.585    0.000 RLPong_Theano.py:49(policy_forward)
     1206    0.002    0.000    0.574    0.000 atari_env.py:85(_get_obs)
     1206    0.001    0.000    0.572    0.000 atari_env.py:76(_get_image)
     1206    0.108    0.000    0.571    0.000 atari_env.py:16(to_rgb)
     1206    0.385    0.000    0.385    0.000 {method 'copy' of 'numpy.ndarray' objects}
       20    0.017    0.001    0.279    0.014 __init__.py:1(<module>)
     1204    0.086    0.000    0.103    0.000 RLPong_Theano.py:30(prepro)
        2    0.002    0.001    0.067    0.033 __init__.py:15(<module>)
        2    0.001    0.000    0.065    0.033 registration.py:1(<module>)
     1206    0.042    0.000    0.060    0.000 ale_python_interface.py:193(getScreenRGB)
        1    0.001    0.001    0.058    0.058 __init__.py:106(<module>)
        2    0.054    0.027    0.054    0.027 {method 'randn' of 'mtrand.RandomState' objects}
        1    0.002    0.002    0.052    0.052 RLPong_Theano.py:56(policy_backward)
      383    0.001    0.000    0.049    0.000 re.py:230(_compile)
      124    0.000    0.000    0.048    0.000 re.py:192(compile)
      118    0.001    0.000    0.047    0.000 sre_compile.py:567(compile)
        1    0.000    0.000    0.047    0.047 add_newdocs.py:10(<module>)
        2    0.002    0.001    0.041    0.020 __init__.py:41(<module>)
  298/291    0.002    0.000    0.038    0.000 {__import__}
        1    0.000    0.000    0.038    0.038 __init__.py:13(sanity_check_dependencies)
        1    0.000    0.000    0.036    0.036 type_check.py:3(<module>)
      9/7    0.000    0.000    0.034    0.005 __init__.py:34(load_module)
        4    0.002    0.001    0.033    0.008 shape_base.py:180(vstack)
  119/118    0.001    0.000    0.031    0.000 sre_parse.py:706(parse)
